mdp.35112105455283
mdp.39015068251324
wu.89094621364
loc.ark:/13960/t4wh3wd5t
pur1.32754063609568
hvd.li2xej
uc2.ark:/13960/t80k2984v
hvd.32044081803736
nyp.33433082526629
nyp.33433074900105
hvd.li2xez
uc1.31822000572511
nnc2.ark:/13960/t6446g60t
nyp.33433008741740
uiug.30112039535890
uc1.31822033773862
mdp.39015031670972
nyp.33433069327504
uiug.30112104125361
mdp.39015054504744
mdp.39015020931542
mdp.39015024984992
coo.31924030283232
loc.ark:/13960/t45q57z7d
pur1.32754077527103
pst.000011991397
hvd.32044105495642
nyp.33433089889913
nyp.33433069327512
mdp.39015031302006
coo.31924055320307
hvd.32044020366621
uiug.30112101931159
hvd.32044105534804
aeu.ark:/13960/t48p7950w
uc1.32106000764446
uc1.31175035252843
nyp.33433081919452
nyp.33433008741757
uiug.30112101931175
hvd.32044058303116
uiuo.ark:/13960/t8rb74z1m
nyp.33433081919445
mdp.39015062497576
nyp.33433008741765
loc.ark:/13960/t88g98p4x
mdp.39015085437930
umn.319510021782569
pst.000025002812
uiug.30112104125387
umn.31951d00368269m
mdp.39015020931567
pst.000011991373
uiug.30112101931167
uc2.ark:/13960/t1zc7sp6k
mdp.39015062497584
pur1.32754063609592
wu.89100068097
uiug.30112101931183
uiug.30112104125395
coo.31924018299275
miun.ajk2027.0001.001
loc.ark:/13960/t6sx6sn82
mdp.39015028706128
uc2.ark:/13960/t5p845z3q
uc1.32106000764420
mdp.39015024984984
umn.319510021782585
mdp.39015085437914
nyp.33433081919429
uc2.ark:/13960/t2v41sz6t
pur1.32754061141457
hvd.32044105495675
inu.32000010022137
pst.000033916712
mdp.39015062194199
umn.319510021782593
pur1.32754077527145
inu.32000003202068
njp.32101068149853
mdp.39015035221673
njp.32101068149838
mdp.39015028129883
mdp.39015020931591
mdp.39015035221657
nyp.33433081919411
uiug.30112104125338
uva.x000273989
pur1.32754077527129
pst.000011991335
inu.32000010022129
pst.000011991342
nyp.33433008741799
nyp.33433007859378
mdp.39015035221665
wu.89067465872
njp.32101068149846
hvd.32044098625205
wu.89066014838
mdp.39015005503993
mdp.35112105455309
nyp.33433081919403
hvd.32044105495659
nyp.33433069327520
uc2.ark:/13960/t5p845z84
uva.x000273992
uc2.ark:/13960/t03x8bc04
uva.x000273991
mdp.39015056905923
hvd.32044098625213
hvd.32044108135757
nyp.33433069327538
pst.000013578398
uc1.31175035252868
pur1.32754077527111
nnc1.cu55749488
pst.000056815818
mdp.39015035221632
uc2.ark:/13960/t9p26tt04
uiuo.ark:/13960/t7rn34h13
pst.000011991311
mdp.39015009726798
uc1.b4594856
mdp.39015021132975
wu.89001946870
hvd.32044018785931
mdp.39015021132967
pst.000011991304
uc1.b3855493
pst.000025002874
uc2.ark:/13960/t8w96839f
hvd.li2z88
mdp.39015035221624
loc.ark:/13960/t6m04qd32
uc2.ark:/13960/t09w0bq8z
uc1.b4594861
mdp.39015021132983
mdp.39015061862044
hvd.li2xum
hvd.li2xul
mdp.39015007561072
hvd.li2z95
nyp.33433074900196
mdp.39015021132991
mdp.39015003814517
hvd.32044020366696
uc2.ark:/13960/t25b06b5q
nyp.33433007859329
mdp.39015076624793
uiug.30112104125304
wu.89001946896
hvd.32044106445901
hvd.li2z4t
pst.000025002898
umn.319510023815669
njp.32101068319019
wu.89001946888
aeu.ark:/13960/t82j72q9c
nyp.33433007859303
uiuo.ark:/13960/t1qf95486
uc1.b4594819
hvd.32044039323357
uc1.b3855456
miun.acm8754.0019.001
miun.ahz9376.0001.001
nyp.33433081919494
uiug.30112101931118
uc2.ark:/13960/t2n58gh7w
uc1.b4594827
hvd.li2xya
nyp.33433087631689
uc1.b3855443
mdp.39015013799385
mdp.39015028060708
pst.000025002829
uc2.ark:/13960/t09w0bq5h
ncs1.ark:/13960/t12n5s42d
njp.32101068319035
nyp.33433081919486
uiug.30112101931126
loc.ark:/13960/t0pr8hm97
hvd.li2z8a
mdp.39015020485374
uc2.ark:/13960/t52f7nq3n
uc1.$b703160
hvd.32044011687043
pst.000025002850
nnc1.cu55681611
uiug.30112060160402
uiug.30112046355993
hvd.li2xvk
mdp.39015013233633
uc2.ark:/13960/t84j0m51x
uiug.30112069831367
uc1.b4594849
hvd.32044082096520
ucw.ark:/13960/t59c79746
wu.89062463054
uiug.30112101931142
ucw.ark:/13960/t59c79746
